id;amount;version
5143a67a-1d9b-4e16-8b99-d958d355b07f;44870;42459
3a2a30c4-4b8d-43fb-bef9-4d14652cba43;9379;49053
d06b0ca3-74a6-4639-a00f-64424c4cb276;88756;44360
9af73715-8338-42f0-a22b-f53ab5d2d3a9;34089;13428
dc1461bd-a960-4d25-b406-a27be0591429;51189;49761
dda04817-f3fa-46bc-81f8-43eb83bef789;15277;44534
805abbd1-1eb0-47c7-8c6e-d11dbc87a62e;83618;26047
c600263b-87f4-4887-8ba9-7193694cbb8f;27924;64007
bfd11707-983e-410b-9fa7-08c67f699b33;46960;90800
bfd11707-983e-410b-9fa7-08c67f699b34;39;91800
8b377108-7454-4f2d-ba9b-294b0dad54fd;24609;70233
